Date;Price;Open;High;Low;Vol.;Change %
2019-12-16 00:00:00;135,844;133;139,6;131,52;40450000;0,0091
2019-12-23 00:00:00;141,136;139,2;143,5;137,12;34550000;0,0006
2019-12-30 00:00:00;142,784;142,8;144,68;140,88;12560000;0,0021
2020-01-06 00:00:00;143,22;143,98;144,74;140,88;11180000;-0,0177
2020-01-13 00:00:00;142,98;139;146,98;137,8;36030000;0,0224
2020-01-20 00:00:00;147,996;147,08;152;145,24;37530000;-0,0095
2020-01-27 00:00:00;144,752;148,38;148,68;140,5;26910000;-0,0127
2020-02-03 00:00:00;141,224;143;145,06;135,6;30460000;-0,0146
2020-02-10 00:00:00;138,848;136,52;141,28;134,64;34040000;-0,0171
2020-02-17 00:00:00;139,664;138,5;142,24;136,1;33200000;0,0007
2020-02-24 00:00:00;139,455;139,6;141,36;137,2;20980000;-0,0011
2020-03-02 00:00:00;130,596;137,96;139,9;119,14;63560000;-0,0221
2020-03-09 00:00:00;122,365;123,5;124,84;117,6;38970000;-0,0388
2020-03-16 00:00:00;113,636;107,6;123,94;100,82;75860000;-0,0071
2020-03-23 00:00:00;107,448;109,28;113,48;100;66450000;-0,0287
2020-03-30 00:00:00;118,628;111;125,48;111;55210000;0,0204
2020-04-06 00:00:00;124,868;120,78;131,4;118,74;46710000;0,0413
2020-04-13 00:00:00;132,04;132,14;134,6;128,7;29060000;-0,0126
2020-04-20 00:00:00;126,692;130,72;131,96;124,2;33910000;0,0111
2020-04-27 00:00:00;125,168;126;128,34;123,16;41980000;-0,0135
2020-05-04 00:00:00;126,46;123;128,4;122,4;26180000;-0,0276
2020-05-11 00:00:00;124,76;125,98;126,58;123,92;16460000;0,0008
2020-05-18 00:00:00;120,132;124,3;124,64;116,02;34360000;0,0527
2020-05-25 00:00:00;127,86;124,04;132,48;123,2;36070000;0,0306
2020-06-01 00:00:00;136,796;132,9;139,26;132,2;51890000;-0,0003
2020-06-08 00:00:00;139,296;137,4;144,16;136,36;38560000;-0,0311
2020-06-15 00:00:00;135,69;138,02;139,3;130,92;23560000;-0,0302
2020-06-22 00:00:00;137,128;132,36;139,6;132,36;37900000;-0,0039
2020-06-29 00:00:00;138,385;138,4;140,14;136,5;13710000;0,0127
2020-07-06 00:00:00;142,29;139,44;144,98;138,86;16080000;0,0054
2020-07-13 00:00:00;139,516;144,94;144,94;134,36;21830000;0
2020-07-20 00:00:00;138,068;135,5;139,26;133,4;14380000;0,0054
2020-07-27 00:00:00;142,396;138,5;145,98;138,2;25510000;0,0129
2020-08-03 00:00:00;145,916;145,88;149,2;142,58;28750000;-0,0071
2020-08-10 00:00:00;150,172;145;154,74;144,52;37630000;0,0328
2020-08-17 00:00:00;160,172;154,6;166,98;153,84;34900000;-0,0049
2020-08-24 00:00:00;160,212;159,98;162,18;158,08;22650000;0,0016
2020-08-31 00:00:00;157,964;160,22;161,3;154,08;29930000;-0,0104
2020-09-07 00:00:00;161,56;155,5;163,74;152,4;34400000;-0,0142
2020-09-14 00:00:00;161,772;160,02;167,1;156,88;36350000;0,0222
2020-09-21 00:00:00;167,516;167,4;169,44;164,72;27680000;-0,0016
2020-09-28 00:00:00;167,956;165,62;172;163,26;27140000;0,0195
2020-10-05 00:00:00;173,176;171,6;175,98;171;20140000;0,0025
2020-10-12 00:00:00;172,492;173,62;175,4;167,02;27710000;0,024
2020-10-19 00:00:00;169,88;172,72;173,3;167,12;19060000;-0,0025
2020-10-26 00:00:00;176,588;169,74;182,22;169,74;32390000;0,0008
2020-11-02 00:00:00;182,768;179,8;189,24;175,62;37000000;0,0167
2020-11-09 00:00:00;189,63;190,08;194,24;184;34450000;0,0126
2020-11-16 00:00:00;196,128;192,34;202,86;190,38;37110000;0,0246
2020-11-23 00:00:00;192,268;202,64;202,76;188,7;32640000;-0,0052
2020-11-30 00:00:00;195,208;190,22;199,48;189,76;32310000;-0,029
2020-12-07 00:00:00;194,184;193,94;203,5;189,02;76970000;0,0211
2020-12-14 00:00:00;202,452;196,98;212,8;196,04;61390000;0,0323
2020-12-21 00:00:00;212,536;210,12;216,4;206,5;46160000;-0,0138
2020-12-28 00:00:00;219,996;210;225,44;209,08;46160000;-0,0177
2021-01-04 00:00:00;210,9466667;219,58;220,74;205,56;37370000;0,0257
2021-01-11 00:00:00;219,36;214,1;226,6;213,76;37760000;-0,0266
2021-01-18 00:00:00;218,892;219,6;226,3;211,34;47580000;-0,0021
2021-01-25 00:00:00;221,384;220,96;225,7;216,42;39090000;-0,0014
2021-02-01 00:00:00;214,828;220,3;222,28;209,1;36760000;0,0061
2021-02-08 00:00:00;212,508;212,02;215,38;209,12;31090000;0,009
2021-02-15 00:00:00;207,416;213,02;214,3;200,64;38990000;-0,0037
2021-02-22 00:00:00;208,8333333;208,48;215,3;202,1;37490000;0,0245
2021-03-01 00:00:00;218,885;212,94;226,2;209,7;49930000;0,0094
2021-03-08 00:00:00;219,615;223,1;228,96;208,8;56520000;-0,0132
2021-03-15 00:00:00;213,28;213,68;219,76;206,5;59730000;0,0082
2021-03-22 00:00:00;216,56;218,58;221,2;212,78;49400000;-0,0012
2021-03-29 00:00:00;220,12;219,26;230;210,82;48650000;0,0197
2021-04-05 00:00:00;238,164;229,7;244,88;229,7;44870000;-0,015
2021-04-12 00:00:00;244,492;235,16;255,88;231,14;51870000;0,039
2021-04-19 00:00:00;257,472;255,5;270,7;249;62510000;-0,0168
2021-04-26 00:00:00;271,3;260,9;282,46;259,32;53690000;0,0145
2021-05-03 00:00:00;269,06;280,18;280,24;263,2;47350000;-0,0229
2021-05-10 00:00:00;270,396;264,9;276,32;261,16;48910000;-0,0147
2021-05-17 00:00:00;270,644;272;276,76;264,24;37090000;0,0005
2021-05-24 00:00:00;270,452;269,82;274,38;264;35250000;0,0079
2021-05-31 00:00:00;267,04;273,4;278,36;259,08;80040000;-0,0063
2021-06-07 00:00:00;264,636;262,1;267,96;257,04;41080000;0,0041
2021-06-14 00:00:00;266,532;263,98;275,56;259,6;40400000;0,0004
2021-06-21 00:00:00;261,904;271,74;273,2;253,82;56840000;-0,0062
2021-06-28 00:00:00;238,9;252;253,48;226,22;91210000;0,0017
2021-07-05 00:00:00;228,444;231,68;232,6;224,7;51140000;-0,0126
2021-07-12 00:00:00;229,288;227,48;236,42;221,84;54350000;0,0086
2021-07-19 00:00:00;237,828;236,18;244,36;230,82;58590000;-0,0211
2021-07-26 00:00:00;245,324;234,2;249,3;231,56;50940000;0,0084
2021-08-02 00:00:00;257,308;248;260,54;247,46;56750000;-0,0063
2021-08-09 00:00:00;257,644;256;263,32;250;52230000;-0,0082
2021-08-16 00:00:00;253,068;254,82;257,68;249,4;40030000;0,0014
2021-08-23 00:00:00;243,156;251;252,76;236,2;58790000;0,0049
2021-08-30 00:00:00;244,64;240,1;251,88;237,5;52220000;0,017
2021-09-06 00:00:00;244,608;252;253,56;232,18;82590000;-0,0363
2021-09-13 00:00:00;232,972;238,42;238,48;225,5;52490000;0,0151
2021-09-20 00:00:00;223,988;233,94;234,38;211,02;70940000;-0,0395
2021-09-27 00:00:00;221,316;213,5;227,6;211,16;63310000;-0,0061
2021-10-04 00:00:00;214,26;223,5;223,76;202,26;58940000;-0,0341
2021-10-11 00:00:00;215,932;204,48;224,88;200,72;101810000;-0,0012
2021-10-18 00:00:00;216,02;221,34;221,34;209,2;66860000;0,0363
2021-10-25 00:00:00;224,632;220,64;228,9;217,04;88460000;0,0149
2021-11-01 00:00:00;227,376;228,6;234,46;221,16;67560000;0,0182
2021-11-08 00:00:00;223,635;227,7;228,1;219,22;39110000;0,0072
2021-11-15 00:00:00;223,164;223,08;229,38;215,4;69730000;0,0014
2021-11-22 00:00:00;222,448;221,96;226,8;212,34;49950000;-0,0151
2021-11-29 00:00:00;221,244;217,96;225,24;213,72;56590000;0,0127
2021-12-06 00:00:00;215,588;218,02;221,98;205,1;88000000;-0,057
2021-12-13 00:00:00;208,728;207;214,06;202,5;63330000;-0,0382
2021-12-20 00:00:00;207,516;203,9;215,8;184,8;69010000;0,0195
2021-12-27 00:00:00;212,264;215,84;217,7;209,5;31700000;0,0104
2022-01-03 00:00:00;216,625;215;219,04;213;22800000;0,0076
2022-01-10 00:00:00;214,54;218,8;219,4;210,5;27380000;-0,007
2022-01-17 00:00:00;216,476;212,9;221,52;207,62;49830000;-0,0117
2022-01-24 00:00:00;205,8;211,5;215,12;193,04;82120000;-0,0505
2022-01-31 00:00:00;206,596;195,64;215,94;191,74;53580000;0,0124
2022-02-07 00:00:00;217,712;214,4;221,92;211,62;60120000;0,0174
2022-02-14 00:00:00;227,088;221;233,3;216,54;84050000;0,0296
2022-02-21 00:00:00;224,828;227,88;236,5;186;92730000;-0,1142
2022-02-28 00:00:00;192,74;200,82;223,54;142;82720000;-0,0176
2022-03-07 00:00:00;;;;;0;
2022-03-14 00:00:00;;;;;0;
2022-03-21 00:00:00;;;;;0;
2022-03-28 00:00:00;173,1666667;170;212,22;159,3;16410000;-0,0549
2022-04-04 00:00:00;168,404;164,08;181,46;152;25290000;-0,0075
2022-04-11 00:00:00;160,372;171,88;172,84;156,42;11260000;-0,0245
2022-04-18 00:00:00;152,772;159,12;159,12;145,6;7860000;-0,0465
2022-04-25 00:00:00;153,86;148,3;159,5;143;9000000;-0,0198
2022-05-02 00:00:00;157,995;151,2;162;150,54;6200000;0,0086
2022-05-09 00:00:00;158,3133333;160,48;162;155;2350600;0,0257
2022-05-16 00:00:00;157,62;160,52;160,9;155;3533990;0,0316
2022-05-23 00:00:00;157,644;159,46;162,48;150,3;7466860;-0,0294
2022-05-30 00:00:00;148,732;151,82;153,62;143,8;7714810;-0,029
2022-06-06 00:00:00;136,456;144,9;145,54;124,12;15570000;-0,004
2022-06-13 00:00:00;131,585;129,4;139,48;124,5;11300000;0,0071
2022-06-20 00:00:00;130,824;129,5;134,38;127,3;9910000;0,0327
2022-06-27 00:00:00;135,612;135;138,92;130,2;11440000;0,0007
2022-07-04 00:00:00;134,756;135,44;140,18;131,08;12750000;0,018
2022-07-11 00:00:00;137,66;135,34;140,5;132,48;7285840;-0,0107
2022-07-18 00:00:00;128,94;136,2;136,48;124,7;8130000;-0,0333
2022-07-25 00:00:00;119,044;125,7;126,04;114;14310000;0,0109
2022-08-01 00:00:00;127,172;119,32;136,36;119,32;25750000;0,0131
2022-08-08 00:00:00;123,676;131,7;132,96;118,08;13710000;-0,0113
2022-08-15 00:00:00;118,096;119,1;119,98;115;17820000;0,0068
2022-08-22 00:00:00;116,164;117,94;118,48;113,78;18730000;0,0136
2022-08-29 00:00:00;116,212;116,6;117,78;113,52;16190000;0,013
2022-09-05 00:00:00;121,204;116,5;126;116,5;29090000;0,0286
2022-09-12 00:00:00;118,856;125,8;125,82;116;31210000;0,0172
2022-09-19 00:00:00;117,772;119,98;120,78;115,32;22100000;-0,0038
2022-09-26 00:00:00;95,732;117;117,1;77,04;67510000;-0,1563
2022-10-03 00:00:00;82,66;79,74;88,26;75;61340000;0,0219
2022-10-10 00:00:00;78,792;87;87,38;70,4;63660000;0,0571
2022-10-17 00:00:00;83,54;78,3;87,72;76,52;45220000;0,0638
2022-10-24 00:00:00;89,46;88,08;95,26;83,56;50040000;-0,0091
2022-10-31 00:00:00;102,224;93,46;107,24;93,18;56340000;-0,0274
2022-11-07 00:00:00;104,455;103,3;111;98,52;31790000;0,0569
2022-11-14 00:00:00;106,936;110,2;111,5;103,12;33530000;-0,0002
2022-11-21 00:00:00;105,392;107,2;109,5;101,3;24290000;-0,0149
2022-11-28 00:00:00;106,18;104,88;107,96;103,2;17290000;0,0034
2022-12-05 00:00:00;106,124;106,12;107,2;104,72;12230000;0,0025
2022-12-12 00:00:00;106,748;105,92;108,96;104,98;21110000;0,0066
2022-12-19 00:00:00;108,604;107,4;112,2;106,06;22470000;0,0275
2022-12-26 00:00:00;114,556;111,36;117;111,12;24820000;0,0059
2023-01-02 00:00:00;116,125;115,48;118,32;113,78;12490000;0,0219
2023-01-09 00:00:00;112,1;113;115,2;109,8;19540000;-0,0084
2023-01-16 00:00:00;111,856;109,9;114,48;108,64;15770000;0,0191
2023-01-23 00:00:00;111,684;114,38;114,52;110,58;14220000;0,0004
2023-01-30 00:00:00;112,836;111,82;115,38;110,72;10640000;0,0123
2023-02-06 00:00:00;119,94;115,4;123,68;114,8;22940000;0,0263
2023-02-13 00:00:00;123,068;123,22;127,48;118,34;22880000;0,0136
2023-02-20 00:00:00;118,768;126,26;126,66;114,4;24530000;0,0036
2023-02-27 00:00:00;121,695;117,88;124,64;117,72;19160000;0,0338
2023-03-06 00:00:00;126,92;124,2;129,1;123,8;25660000;-0,0106
2023-03-13 00:00:00;126,1;126,9;127,4;124,02;13170000;-0,0136
2023-03-20 00:00:00;125,268;125;128;120,8;19260000;0,0198
2023-03-27 00:00:00;126,412;128,24;128,58;123,92;11890000;0,0133
2023-04-03 00:00:00;129,825;128,58;134,44;126,56;21030000;-0,0098

