iter	RMSE
0	0.2456085398
1	0.2360268025
2	0.2279772997
3	0.2193294587
4	0.2118892166
5	0.205735128
6	0.1978492291
7	0.191470394
8	0.1860213844
9	0.1797364228
10	0.1734346131
11	0.166779806
12	0.1613841405
13	0.1563070071
14	0.1516050292
15	0.1470572121
16	0.1429749884
17	0.138906327
18	0.1347976239
19	0.13014351
20	0.1262145132
21	0.122592615
22	0.1192512879
23	0.1166590413
24	0.1132928437
25	0.1104532288
26	0.1069986391
27	0.1041096419
28	0.1013420482
29	0.09848437996
30	0.09610430619
31	0.09350940717
32	0.09100139001
33	0.08857999911
34	0.0866209216
35	0.08482233794
36	0.0826317821
37	0.08041090456
38	0.07854637921
39	0.07692532491
40	0.07529798287
41	0.07373133405
42	0.07242861169
43	0.07113005838
44	0.06989170956
45	0.06882339168
46	0.06754254382
47	0.06630868346
48	0.06518370969
49	0.06400580171
50	0.06299869144
51	0.06222421397
52	0.06137896065
53	0.06052246407
54	0.05953231912
55	0.05885935373
56	0.05803327615
57	0.05716974898
58	0.05642606362
59	0.0555558687
60	0.05488293019
61	0.05413880148
62	0.05341346796
63	0.05275983367
64	0.05246120187
65	0.05189152644
66	0.05129556329
67	0.050948477
68	0.05040505555
69	0.04990562046
70	0.04943646838
71	0.04895457397
72	0.04855852361
73	0.0481505104
74	0.04778222427
75	0.04751928557
76	0.04716927903
77	0.04687117338
78	0.04654533569
79	0.0462594843
80	0.04600367734
81	0.04571799545
82	0.04557382717
83	0.04527628459
84	0.04504993946
85	0.04481380929
86	0.04454059298
87	0.04437688327
88	0.04414908306
89	0.0440205228
90	0.04381633277
91	0.04361055397
92	0.04350201397
93	0.04331683477
94	0.04309333376
95	0.04294820055
96	0.04278372518
97	0.04263244304
98	0.04254421947
99	0.04238382281
100	0.0421661104
101	0.04200771614
102	0.04185261378
103	0.0416981123
104	0.0415214566
105	0.04136963363
106	0.04132154946
107	0.04130284032
108	0.04114625428
109	0.04103282995
110	0.04097926769
111	0.04088558677
112	0.04087464321
113	0.04073585254
114	0.04072827068
115	0.04062603089
116	0.04056293315
117	0.04047166497
118	0.04039273723
119	0.04033214221
120	0.0401248418
121	0.04003708041
122	0.03995886508
123	0.03982260962
124	0.03976122179
125	0.03968912647
126	0.03954779021
127	0.0394008127
128	0.03927319509
129	0.03922898384
130	0.03914859836
131	0.03906930998
132	0.03902282912
133	0.03892317856
134	0.03888126482
135	0.03875022354
136	0.03869725174
137	0.03863319652
138	0.03860436307
139	0.03852804705
140	0.03846982261
141	0.03839230538
142	0.03828853947
143	0.03824628655
144	0.03820326456
145	0.03817375261
146	0.03816816384
147	0.03816427715
148	0.03814808684
149	0.03808243473
150	0.03804794872
151	0.03799676528
152	0.0379456316
153	0.03782532646
154	0.03774227559
155	0.03772738853
156	0.03770385164
157	0.03755043495
158	0.03751519062
159	0.03743354206
160	0.03735605859
161	0.03731508297
162	0.03726582443
163	0.03712649696
164	0.0371231371
165	0.03711983683
166	0.03709923769
167	0.03709334471
168	0.0370901583
169	0.03705490187
170	0.03695097196
171	0.03694146126
172	0.03690814485
173	0.03680774579
174	0.03670782526
175	0.03666038154
176	0.0365726821
177	0.03646308494
178	0.03645789956
179	0.03633618427
180	0.03624564337
181	0.03621430118
182	0.03615653244
183	0.03607980701
184	0.03605346478
185	0.03593950872
186	0.03586226625
187	0.03585670523
188	0.03574718029
189	0.03571213027
190	0.03566132961
191	0.03563615975
192	0.03562066368
193	0.03551770963
194	0.03545072811
195	0.03535203454
196	0.03524448926
197	0.03518405383
198	0.03512503737
199	0.03508298868
200	0.03507819428
201	0.03495345271
202	0.03483470641
203	0.03480947257
204	0.034780247
205	0.034706492
206	0.03468347083
207	0.03467369066
208	0.03463700057
209	0.03460333372
210	0.0345844676
211	0.03455373194
212	0.0344626204
213	0.03434525149
214	0.03430719081
215	0.03430346219
216	0.03424052575
217	0.03420605338
218	0.03411531096
219	0.0340285905
220	0.0340020135
221	0.03396384037
222	0.0339344432
223	0.03385527463
224	0.03380476148
225	0.03376375517
226	0.03373615258
227	0.03370948215
228	0.0336999296
229	0.03366800595
230	0.03363877761
231	0.03363130441
232	0.03362680372
233	0.03357657778
234	0.03354979613
235	0.03349273957
236	0.03347192007
237	0.03342659721
238	0.03342317547
239	0.03341878203
240	0.0333940928
241	0.03338980141
242	0.03333868796
243	0.03333457539
244	0.03327242473
245	0.03325427112
246	0.0332206737
247	0.0332042394
248	0.03316248757
249	0.03312139368
250	0.03311868292
251	0.03308062885
252	0.03307476632
253	0.03306130518
254	0.03305782693
255	0.03305388746
256	0.03302228641
257	0.03293784225
258	0.03293474898
259	0.03289397045
260	0.03280270503
261	0.0327990006
262	0.03279385304
263	0.03279145565
264	0.03278182763
265	0.03272100828
266	0.0327180641
267	0.03271454681
268	0.03268706098
269	0.03264944046
270	0.03262637015
271	0.03262290413
272	0.03261230406
273	0.03249622626
274	0.03247815149
275	0.03247485321
276	0.03244165639
277	0.03241014308
278	0.03239877596
279	0.03239653884
280	0.03235801726
281	0.03232607019
282	0.0322990963
283	0.03226572452
284	0.03224572168
285	0.03221911574
286	0.03221606978
287	0.03220014788
288	0.03218036969
289	0.03217735477
290	0.0321744305
291	0.03217159356
292	0.03209825919
293	0.03208182826
294	0.03207910735
295	0.03204608587
296	0.03199011222
297	0.03197440491
298	0.0318989398
299	0.03189248969
300	0.03187363097
301	0.03184584099
302	0.03183025717
303	0.03177176079
304	0.03176909053
305	0.0317654368
306	0.03176286439
307	0.03169604128
308	0.03165890645
309	0.031641042
310	0.03161192476
311	0.03159408746
312	0.03157432175
313	0.03155924965
314	0.03146805402
315	0.03146468608
316	0.03146069667
317	0.03143388356
318	0.03135405309
319	0.03126636629
320	0.03118194678
321	0.03111497499
322	0.03110261412
323	0.03109813166
324	0.03109280682
325	0.03109048372
326	0.03106750237
327	0.03104598739
328	0.0309653618
329	0.03095158029
330	0.03093451308
331	0.03091037524
332	0.03090789594
333	0.03083002864
334	0.03080718222
335	0.03073383643
336	0.03066211657
337	0.03062530885
338	0.03056154088
339	0.0305433641
340	0.03051619267
341	0.03048473599
342	0.03046346971
343	0.03042253297
344	0.03039957986
345	0.03037429035
346	0.03036823795
347	0.03035085981
348	0.03033570435
349	0.03029880882
350	0.03022939087
351	0.03022734302
